name,address,city,country,postcode,state,categories,menu item,item value,currency,item description
Bertucci's,2929 Berlin Tpke,Newington,US,6111,Htfd,"Restaurants,Italian Restaurants,Pizza",Any Brick Oven Pizza,,,Small
Bertucci's,2929 Berlin Tpke,Newington,US,6111,Htfd,"Restaurants,Italian Restaurants,Pizza",Bbq Chicken Pizza,10.99,USD,BBQ chicken marinated in a smoky hickory BBQ sauce topped with caramelized onions and mozzarella cheese.
Bertucci's,2929 Berlin Tpke,Newington,US,6111,Htfd,"Restaurants,Italian Restaurants,Pizza",Buffalo Chicken Flatbread Pizza,8.49,USD,Grilled chicken tossed with buffalo sauce. Topped with Romano and Mozzarella cheese and drizzled with blue cheese dressing.
Bertucci's,2929 Berlin Tpke,Newington,US,6111,Htfd,"Restaurants,Italian Restaurants,Pizza",Cheese Party Pizza,5,USD,
Bertucci's,2929 Berlin Tpke,Newington,US,6111,Htfd,"Restaurants,Italian Restaurants,Pizza",Cheese Pizza,10.29,USD,
Bertucci's,2929 Berlin Tpke,Newington,US,6111,Htfd,"Restaurants,Italian Restaurants,Pizza",Margherita Flatbread Pizza,,,"Fresh mozzarella, house made tomato sauce and Romano cheese topped with fresh basil."
Bertucci's,10333 S Roberts Rd,Palos Hills,US,60465,IL,Italian Restaurant,Pizza Bread or Tomato Bread,3.75,USD,
Bertucci's,194 Buckland Hills Dr,Manchester,US,6042,CT,"Restaurant,Restaurants,Italian Restaurant,Italian Restaurants,Pizza",Any Brick Oven Pizza,,,Small
Bertucci's,194 Buckland Hills Dr,Manchester,US,6042,CT,"Restaurant,Restaurants,Italian Restaurant,Italian Restaurants,Pizza",Bbq Chicken Pizza,10.99,USD,BBQ chicken marinated in a smoky hickory BBQ sauce topped with caramelized onions and mozzarella cheese.
Bertucci's,194 Buckland Hills Dr,Manchester,US,6042,CT,"Restaurant,Restaurants,Italian Restaurant,Italian Restaurants,Pizza",Buffalo Chicken Flatbread Pizza,8.49,USD,Grilled chicken tossed with buffalo sauce. Topped with Romano and Mozzarella cheese and drizzled with blue cheese dressing.
Bertucci's,194 Buckland Hills Dr,Manchester,US,6042,CT,"Restaurant,Restaurants,Italian Restaurant,Italian Restaurants,Pizza",Cheese Party Pizza,5,USD,
Bertucci's,194 Buckland Hills Dr,Manchester,US,6042,CT,"Restaurant,Restaurants,Italian Restaurant,Italian Restaurants,Pizza",Cheese Pizza,10.29,USD,
Bertucci's,2847 State Route 35,Hazlet,US,,NJ,Italian Restaurant,Any Brick Oven Pizza,,,Small
Bertucci's,2847 State Route 35,Hazlet,US,,NJ,Italian Restaurant,Bbq Chicken Pizza,10.99,USD,BBQ chicken marinated in a smoky hickory BBQ sauce topped with caramelized onions and mozzarella cheese.
