,restaurant,restaurantName,postCode
0,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#papa_john_s_pizza___7,Papa John's Pizza,
1,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#two_brothers_deli,Two Brothers Deli,
2,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#sir_pizza,Sir Pizza,
3,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#ak_diamonds,Ak Diamonds,
4,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#milt_s_pizza_place_llc,Milt's Pizza Place Llc,
5,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#la_hacienda_real___1,La Hacienda Real,
6,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#villa_rose_pizza,Villa Rose Pizza,
7,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#baldinelli_pizza,Baldinelli Pizza,
8,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#five_below,Five Below,
9,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#san_biagio_s_pizza,San Biagio's Pizza,
10,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#pizza_city,Pizza City,
11,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#valley_lahvosh_baking,Valley Lahvosh Baking,
12,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#masago,Masago,
13,https://www.city.ac.uk/ds/inm713/zacharias_detorakis#bertucci_s___4,Bertucci's,
