,addressLine,name,pizzaName,price
0,118 Us Highway 46 E,Calandra's Mediterranean Grill,Pizza Margherita,14.95
1,803 Spartanburg Hwy,Mike's Pizza And Pasta,Margherita Pizza,18.95
2,200 E Chestnut St,Francesca's On Chestnut,Pizza Margherita,10.99
3,3295 Bel Air Mall,Buck's Pizza,Margherita Pizza,13.49
4,34579 Yucaipa Blvd,Pizza Chalet,Margherita Pizza,27.36
5,3413 W 7th St,Michael's Cuisine,Margherita Pizza,16.0
6,7701 White Ln,Firehouse,Dry Barrel Margherita Pizza,12.99
7,163 Old River Rd,Tomaso's,Margherita Pizza,9.95
8,420 N Middletown Rd,AquaTerra Grille,Margherita Pizza,9.95
9,3413 W 7th St,Michael's Cuisine,An Individual Margherita Pizza,9.0
10,8900 E Pinnacle Peak Rd,Pane E Vino,Pizza Margherita,8.0
11,400 S Orlando Ave,Nypd Pizza,Pizza Margherita,13.95
12,201 Railroad St W,The Depot,Pizza Margherita,11.95
13,3223 E Camelback Rd,Tommy V's Osteria Pizzeria,Pizza Margherita D. O. P.,14.0
14,607 Green Valley Rd,Wolfgangpuck Pizza | Bar,Margherita Pizza,11.0
15,25431 Trabuco Rd,Ameci Pizza & Pasta,Margherita Pizza,8.99
16,1000 Corporate Dr,Jacksons,Pizza Margherita,12.0
17,10955 Oval Park Dr,Wolfgang Puck Bar & Grill - Summerlin,Margherita Pizza,12.0
18,1001 S Main St,Cristy's Pizza,Margherita Pizza (on Honey Wheat Dough),15.3
19,6593 Collins Dr,Custom Pie,Margherita Pizza,8.95
20,27 Grand St,The James New York,Margherita Pizza,16.0
21,6 School St,Marzanos,Margherita Pizza,12.0
22,700 S E Walton Blvd,Johnny Brusco Pizza,Margherita Pizza,4.75
23,111 Lawrence Rd,Nino's Trattoria & Pizzeria,Margherita Pizza,15.95
24,510 S Mason Rd,Maaco Collision Repair & Auto Painting,Margherita Pizza,11.5
25,458 9th Ave,Burgers & Cupcakes,Margherita Pizza,15.95
26,22 Miller Ave,Piazza D'angelo,Margherita Pizza,6.0
27,2605 Lawndale Dr,Positano - Greensboro,Pizza Margherita,10.0
28,11011 W Charleston Blvd,"Salute Trattoria Italiana ��� Red Rock Casino, Resort & Spa",Margherita Pizza,18.0
29,4301 W 41st St,Old Chicago Pasta Pizza,Royal Margherita Pizza,10.5
30,950 Lehigh Valley Mall,Bravo Cucina Italiana - Whitehall - Lehigh Valley,Margherita Pizza,11.49
31,3502 Park Ave,7 Day 24 Hours Emergency Locks,Margherita Pizza,14.0
32,1032 Old Peachtree Rd N W,Hair Like Before,Pizza Margherita,21.95
33,9110 Selborne Ln,The Hil,Margherita Pizza,9.0
34,9 S Granville Ave,Barrels,Margherita Pizza (white),9.9
35,140 S Lake Ave,Seco,Pizza Margherita,5.0
36,302 E 12th St,John's of 12th Street,Vegan Margherita Pizza,16.95
37,200 S Second St,Francesca's By The River,Pizza Margherita,12.0
38,100 Sycamore Valley Rd,Piatti - Danville,Classic Margherita Pizza,14.5
39,286 N Adams Rd,Bravo Cucina Italiana - Rochester Hills,Margherita Pizza,11.49
40,7102 Woodlawn Ave N E,Lucia of Greenlake,Margherita Pizza 6 Calamari Fritti,7.0
